68210911|VICTOR||VALVERDE|14427 KEESE  DR||WHITTIER|CA|90604|US|H1226|USPS|1|20260601|12600701@mjdummy.com|||3862569408|||VPS
68210912|JANE||SMITH|742 EVERGREEN TER||SPRINGFIELD|IL|62704|US|H1226|USPS|1|20260601|12600702@mjdummy.com|||3125550101|||VPS
68210913|ROBERT||JOHNSON|1600 PENNSYLVANIA AVE NW||WASHINGTON|DC|20500|US|H1226|USPS|1|20260601|12600703@mjdummy.com|||2025550102|||VPS
68210914|MARIA||GARCIA|350 FIFTH AVE||NEW YORK|NY|10118|US|H1226|USPS|1|20260601|12600704@mjdummy.com|||2125550103|||VPS
68210915|DAVID||CHEN|233 S WACKER DR||CHICAGO|IL|60606|US|H1226|USPS|1|20260601|12600705@mjdummy.com|||3125550104|||VPS
68210916|SARAH||WILLIAMS|600 CONGRESS AVE||AUSTIN|TX|78701|US|H1226|USPS|1|20260601|12600706@mjdummy.com|||5125550105|||VPS
68210917|MICHAEL||BROWN|1 MARKET ST||SAN FRANCISCO|CA|94105|US|H1226|USPS|1|20260601|12600707@mjdummy.com|||4155550106|||VPS
68210918|EMILY||DAVIS|100 PEACHTREE ST NW||ATLANTA|GA|30303|US|H1226|USPS|1|20260601|12600708@mjdummy.com|||4045550107|||VPS
68210919|JAMES||MILLER|2001 ROSS AVE||DALLAS|TX|75201|US|H1226|USPS|1|20260601|12600709@mjdummy.com|||2145550108|||VPS
68210920|LINDA||WILSON|400 BROAD ST||SEATTLE|WA|98109|US|H1226|USPS|1|20260601|12600710@mjdummy.com|||2065550109|||VPS
